gstr2b_id,vendor_gstin,invoice_number,invoice_date,taxable_value,cgst,sgst,igst,itc_available,filing_period
01d40fe5-b3dc-4853-aee0-6bbc08a5d5c3,32MIZGW1045V1Z9,INV-41771,2026-01-26,109075.53,0.0,0.0,13089.06,13089.06,2026-01
c7926d36-d26e-4042-9613-da82a2871d7a,33MHMKR7789T9Z1,TX-58800,2026-01-02,36630.5,0.0,0.0,6593.49,6593.49,2026-01
cfc5e778-ac8f-4ca3-bd04-cbc5cf1fa5ca,19BHZYV0269B6ZF,RE-59915,2026-01-17,196469.19,0.0,0.0,9823.46,9823.46,2026-02
5905ece2-6e3c-4069-9ba5-3365fe9cb0ad,07IAKFV1961W5ZW,TX-00206,2026-04-01,14887.15,0.0,0.0,744.36,744.36,2026-05
347eeaaa-a5bc-4f5f-9254-af3868207ea9,07TREUM7749S6ZK,RE-66536,2026-05-22,17127.1,0.0,0.0,856.36,856.36,2026-06
b7eb51ef-72fe-45d8-8eae-16769f01ea1a,33WJOCH2457T9Z1,INV/26-27/17676,2026-01-17,1311.8,32.8,32.8,0.0,65.6,2026-01
b22f997f-6aa2-4c57-b5b8-081aa99b1740,33KYRXQ3502N6ZT,TX-78965,2026-02-16,16645.66,1498.11,1498.11,0.0,2996.22,2026-02
683ed59c-14b2-4ff1-95eb-abaf0f7df0e8,24YFPVG6368Z1ZM,TX-46078,2026-04-25,80546.33,0.0,0.0,22552.97,22552.97,2026-05
de34a730-4c2e-413e-8214-6b4343d92100,19LYXQR1956K7ZI,TX-47620,2026-05-12,3812.56,0.0,0.0,1067.52,1067.52,2026-05
e5485668-6f31-4bc2-a365-f2140ef8dcd5,33JJHSA8308Y1ZV,TX-74350,2026-01-09,8167.22,0.0,0.0,980.07,980.07,2026-01
a68a5b83-9267-4fe7-97b7-64edd22e1449,09SSLRY7669N2ZY,INV-03397,2026-02-17,14606.6,0.0,0.0,2629.19,2629.19,2026-01
bc3bc1ab-22b4-467e-8d43-b987e125e1e9,24OUECW6291O5ZT,INV-72090,2026-05-19,15232.62,0.0,0.0,1827.91,1827.91,2026-05
410d424f-e527-4a1b-94a9-70d9f40cece9,32QMUCF6354Q6ZR,INV/26-27/31030,2026-05-07,29620.43,0.0,0.0,3554.45,3554.45,2026-06
61b6d18c-244c-4d5a-9e01-c5ffba0de9e3,32JTGJQ3646R6ZE,TX-68904,2026-04-16,17998.88,0.0,0.0,3239.8,3239.8,2026-04
2abac0ca-cb8e-41ad-ad88-6c15de476492,19IYITE9127Q9ZX,INV/26-27/16913,2026-04-21,26200.98,0.0,0.0,3144.12,3144.12,2026-04
675cdb95-a0b8-42e4-bd91-8fc1fdfc8904,29KTLLC3446J2ZP,QT-10337,2026-03-06,90656.0,0.0,0.0,16318.08,16318.08,2026-04
10887568-4c8a-42ea-a76d-cc4e2307056c,33KYRXQ3502N6ZT,INV-84077,2026-05-28,6176.91,0.0,0.0,308.85,308.85,2026-06
2b4642a4-f886-4805-b8b4-1f95764e071a,24VZGOJ9588I7ZL,TX-32097,2026-04-14,19514.89,0.0,0.0,2341.79,2341.79,2026-05
82a056ac-1821-476e-8e6a-3aaa133f5283,24OUECW6291O5ZT,TX-17140,2026-04-05,8525.48,0.0,0.0,426.27,426.27,2026-04
7eb42727-024c-4989-b7a5-1440d0d1bfe8,24UWVGU1882O6ZJ,QT-50352,2026-04-18,64423.99,0.0,0.0,11596.32,11596.32,2026-05
87d257f2-18fc-407f-a4e3-64ac7af9ee89,27AHFDG3071M9ZE,TX-65374,2026-03-20,6180.17,0.0,0.0,1730.45,1730.45,2026-03
5f542e0f-ba2e-4125-84d4-3c77978e480f,09OQIDS9990V7ZW,QT-06378,2026-01-13,89018.61,0.0,0.0,24925.21,24925.21,2026-02
00145f3b-c875-497c-8127-a1e56e644c92,32CBLIG0985A5Z2,QT-52856,2026-04-04,3014.8,0.0,0.0,542.66,542.66,2026-05
cf8de8f3-4e88-4523-b95d-0faafb12e2db,29MXBCP0265K7ZX,RE-36664,2026-01-31,6603.55,0.0,0.0,1188.64,1188.64,2026-02
38f615d7-557c-48ae-80de-4de73010107a,32QMUCF6354Q6ZR,RE-66732,2026-04-13,12924.51,0.0,0.0,3618.86,3618.86,2026-04
91db8f50-01c5-4862-af29-01e08fbbc5d1,19WWLNL7461P5ZL,RE-41751,2026-02-11,113974.22,0.0,0.0,20515.36,20515.36,2026-02
1a50211b-3b3d-4196-ad23-7ef5068612f2,07BSZNP3937V1ZL,QT-62246,2026-01-05,57977.12,0.0,0.0,2898.86,2898.86,2026-01
203e1777-7c5d-4a81-93fa-142eaec1e947,29OKGWZ6106L5ZP,INV/26-27/94556,2026-01-14,3990.16,0.0,0.0,1117.24,1117.24,2026-01
f0c1a214-30b9-4c1d-9bdd-71efad55f2dd,29OKGWZ6106L5ZP,INV-25007,2026-01-05,18679.44,0.0,0.0,2241.53,2241.53,2026-01
4d39ce1b-0ecf-4287-a5cc-b411121dffe5,27RKHBU3568K1Z7,INV/26-27/67985,2026-02-23,20788.18,0.0,0.0,3741.87,3741.87,2026-01
07e5e9d1-514d-4c37-88f5-6df9a6168dcc,07VUDGQ8518D5Z5,TX-25201,2026-03-05,96930.58,0.0,0.0,27140.56,27140.56,2026-04
39bb3c4c-fd34-45f6-91f2-b46ccc99a0ec,33NQMLB2128P2Z1,INV-75167,2026-05-20,13554.07,0.0,0.0,677.7,677.7,2026-05
95e8ebcf-05ac-4683-a34e-02021433685c,33WJOCH2457T9Z1,INV/26-27/26486,2026-05-18,29592.7,0.0,0.0,1479.64,1479.64,2026-06
d734fb25-1440-4465-ace9-7140a52af048,24UWVGU1882O6ZJ,RE-29580,2026-03-01,13207.33,0.0,0.0,660.37,660.37,2026-05
9b4aa2ee-7b6c-4e71-a21d-0486f5023d9f,29OFSTE6718J2Z1,TX-85576,2026-05-02,8780.84,0.0,0.0,439.04,439.04,2026-06
fae19e17-e030-4d02-b28d-bd06da358068,24MLHTC4264V5Z2,TX-35762,2026-02-19,6793.12,0.0,0.0,1222.76,1222.76,2026-03
2eb54fd1-d243-47ba-b589-dd1b5f44ca79,07IAKFV1961W5ZW,RE-88396,2026-02-19,99582.95,0.0,0.0,4979.15,4979.15,2026-03
e09cf981-2585-45d0-9a56-29654578939d,33WJOCH2457T9Z1,QT-32513,2026-01-02,2721.44,0.0,0.0,489.86,489.86,2026-02
7949096d-4222-4a02-ba2c-b36a21c8ba51,32CBLIG0985A5Z2,QT-90803,2026-03-02,7992.12,0.0,0.0,2237.79,2237.79,2026-03
eed9d847-996b-46b4-9199-69295c7b4326,09LSGIX0131G2ZQ,QT-48175,2026-02-26,10190.32,0.0,0.0,1834.26,1834.26,2026-03
49489f3f-9ed2-4025-b76a-ef604ec28308,07BQNFU3961D3ZG,INV/26-27/99859,2026-03-05,62796.59,0.0,0.0,17583.05,17583.05,2026-03
d0e74ef9-b431-4c82-95e3-2839899ce2b5,32PSNVO8742H5ZX,INV-71782,2026-05-10,27182.62,3805.57,3805.57,0.0,7611.14,2026-06
f8eb8a40-0bbc-466f-bd9b-b174e568a5a7,27ESIIA8541U1Z5,INV-66896,2026-04-25,20395.1,0.0,0.0,5710.63,5710.63,2026-04
d87f9ed9-45aa-439d-8ec2-b16cdcdc92c2,29YDDCO2672U5ZW,TX-33353,2026-01-01,29403.29,2646.3,2646.3,0.0,5292.6,2025-12
d54a0eed-4294-4af9-ab67-07842ef579dc,09APIUL9181B7Z0,TX-04160,2026-03-15,264226.38,0.0,0.0,73983.39,73983.39,2026-03
34300d4d-1d2c-4ab9-a2ef-6d79eb647371,07CHTED5959F5ZU,TX-10519,2026-05-19,57614.61,0.0,0.0,16132.09,16132.09,2026-06
e79d7455-6613-4682-81ab-388f349fa762,19YFSGK6237C1ZT,INV-39108,2026-04-29,30196.4,0.0,0.0,3623.57,3623.57,2026-04
b65561e9-f70e-43f3-a9bf-23c71f2fb375,19EFUIW7209C4ZQ,INV-04223,2026-04-18,14011.17,0.0,0.0,700.56,700.56,2026-04
a200d4c9-71a7-488d-a3d5-5d8a28e79a75,09SSLRY7669N2ZY,INV-52726,2026-04-23,3941.91,0.0,0.0,709.54,709.54,2026-05
dbd50672-0b61-4aa2-ba38-4ca5f59c870b,33OGUBT7836U3ZV,RE-78371,2026-03-24,26758.29,0.0,0.0,4816.49,4816.49,2026-04
62f0daf7-3d1e-4f48-b658-b607b3d603b0,29VOPVG7752E3ZY,RE-64963,2026-01-13,58902.46,0.0,0.0,16492.69,16492.69,2026-01
46f5bff2-3ceb-4a16-abf3-9315888fb1be,07BQNFU3961D3ZG,TX-31585,2026-02-27,224171.15,0.0,0.0,11208.56,11208.56,2026-02
8fb5f516-107a-452d-a476-644bbb51affa,07BQNFU3961D3ZG,INV/26-27/6756,2026-03-10,31100.88,777.52,777.52,0.0,1555.04,2026-03
086eb9b4-b293-4697-9b23-82885c5e6569,29VHJHS1002E8Z6,TX-27380,2026-03-27,72274.6,0.0,0.0,8672.95,8672.95,2026-03
67ab1288-7f8b-4c1c-bf99-b3243ddddda1,33WJOCH2457T9Z1,INV/26-27/91178,2026-02-22,11259.54,0.0,0.0,2026.72,2026.72,2026-02
81868f8b-eebf-42ea-a84d-960c67cf6d35,27HHPZM1535R7ZT,QT-47140,2026-05-12,17414.8,2438.07,2438.07,0.0,4876.14,2026-06
ff914ba4-0b0f-4d35-9758-d43e97babac9,19FEGTT6106B5ZS,QT-54255,2026-01-12,12684.94,0.0,0.0,2283.29,2283.29,2026-01
c4483a1b-143e-4b60-bc4d-6429996dae79,07IAKFV1961W5ZW,INV/26-27/25716,2026-03-26,30045.76,0.0,0.0,5408.24,5408.24,2026-04
0d057fc3-469d-41f6-b34a-e727d9bcc728,24CSWQT7242K8ZP,INV/26-27/96046,2026-04-01,60257.19,0.0,0.0,3012.86,3012.86,2026-05
b1028277-7ccc-441a-9e00-1a3134b8ee3a,24UWVGU1882O6ZJ,INV-54054,2026-02-05,3759.14,0.0,0.0,187.96,187.96,2026-02
2b1db815-b5af-4b34-b924-35be9048e58b,32XDLYF4300Q6ZF,RE-63335,2026-05-05,27796.12,0.0,0.0,1389.81,1389.81,2026-06
3ae6f3a4-bae6-48b0-ac48-9f21852140ea,29YDDCO2672U5ZW,RE-91470,2026-04-21,6507.69,585.69,585.69,0.0,1171.38,2026-04
0d0739d8-393e-4b6d-9f74-d1f3c7af7110,32XHKDY3408E7ZT,TX-74056,2026-03-04,4162.28,0.0,0.0,208.11,208.11,2026-02
a3876f8d-22de-455b-9525-0a391f28dc42,33NUYTR2660Y4ZJ,TX-49711,2026-04-07,6421.34,0.0,0.0,1797.98,1797.98,2026-04
9e6e656b-b3e1-4cad-88e1-39022361fd46,07UQVXC8255M5ZL,INV-30116,2026-02-24,61929.22,0.0,0.0,11147.26,11147.26,2026-02
6f422073-3c07-47e4-b24b-dad24b5deb53,07TREUM7749S6ZK,RE-86260,2026-01-09,9392.91,0.0,0.0,2630.01,2630.01,2026-02
5b66bac3-7c85-4446-8573-086f202a1a4d,29WWWJI7780C4ZI,TX-99040,2026-02-05,37906.85,0.0,0.0,6823.23,6823.23,2026-02
95f9ef3b-a8c7-43a0-9ea2-03e39478bd0c,24ZTSCE2030L6ZR,RE-80461,2026-04-12,9349.67,0.0,0.0,2617.91,2617.91,2026-04
32200152-a05f-4e9e-981e-559a0d61ee34,29RAAUG3107Q2Z4,INV/26-27/89089,2026-05-30,2653.57,0.0,0.0,318.43,318.43,2026-06
cc7d6be9-230b-47e0-b14a-ddb22a07b644,07CHTED5959F5ZU,INV/26-27/96949,2026-04-10,13404.55,0.0,0.0,2412.82,2412.82,2026-04
ecf82bb2-9471-43f5-88a5-392c0d3cdbf1,29MXBCP0265K7ZX,RE-72711,2026-05-12,5489.11,0.0,0.0,274.46,274.46,2026-05
6cdf5b13-d395-49d3-8176-3fea15ce7ce6,29NNDJB2245J9Z0,QT-54239,2026-04-10,71031.07,0.0,0.0,8523.73,8523.73,2026-04
3713b41c-046e-484f-a95a-05d65155bcf6,24YFPVG6368Z1ZM,INV/26-27/35248,2026-03-19,10350.23,931.52,931.52,0.0,1863.04,2026-04
f484d31a-8f7c-4a8e-8d33-20ea0c43381e,33JJHSA8308Y1ZV,QT-32322,2026-05-07,12310.02,0.0,0.0,2215.8,2215.8,2026-05
19936138-0426-44a0-92e5-6c3b5bfe1052,07CHTED5959F5ZU,QT-57701,2026-03-27,167481.28,0.0,0.0,20097.75,20097.75,2026-03
1c0c4d74-df8d-43db-94f4-bef1ad70cca0,33WJOCH2457T9Z1,QT-23284,2026-04-12,6078.72,0.0,0.0,1702.04,1702.04,2026-04
4ab36b73-705e-46ae-8d05-6afd5b05fd0f,19WWLNL7461P5ZL,TX-36740,2026-04-11,75475.02,0.0,0.0,9057.0,9057.0,2026-03
ce68229d-7256-4de7-80f2-e2f14eace585,19SHGDF1571G8ZH,TX-38186,2026-01-18,69571.46,0.0,0.0,19480.01,19480.01,2026-01
27457849-0a72-498e-b89a-eb82f03e2a3d,27TBYFB9002A3ZF,TX-49413,2026-01-19,40239.41,0.0,0.0,11267.03,11267.03,2026-01
a298ee93-9f98-4f0f-8a57-779d684b8db5,07BQNFU3961D3ZG,RE-83648,2026-01-22,5389.32,0.0,0.0,646.72,646.72,2026-02
9369ca5a-9450-4ea3-b1c5-93c7b21c98c4,29WWWJI7780C4ZI,TX-13887,2026-01-03,2589.62,0.0,0.0,310.75,310.75,2026-02
b001e0fe-ea3f-459c-9dce-52e1cd0885e6,24MLHTC4264V5Z2,INV/26-27/45216,2026-01-07,51382.22,0.0,0.0,9248.8,9248.8,2026-01
b97f2a3a-2552-41ee-8c51-206c7f889c94,29YDDCO2672U5ZW,QT-84931,2026-01-28,13113.61,0.0,0.0,1573.63,1573.63,2026-01
40d4d35d-b6b9-4995-93b5-fc4c3f306c48,29ZDTPU2544S7ZJ,TX-82544,2026-02-17,42437.49,0.0,0.0,5092.5,5092.5,2026-03
a0c75a09-2010-4967-b056-541c84ae8333,29VHJHS1002E8Z6,INV/26-27/36484,2026-01-17,94028.75,8462.59,8462.59,0.0,16925.18,2026-01
fe1a95b9-d2aa-4552-8f15-0b4b37b253c8,27ESIIA8541U1Z5,RE-83770,2026-03-22,43253.46,0.0,0.0,7785.62,7785.62,2026-03
c05d6cd5-b4fc-4eec-89e5-9a76af18c246,24VZGOJ9588I7ZL,RE-77355,2026-01-22,14986.72,0.0,0.0,749.34,749.34,2026-01
