invoice_id,vendor_gstin,vendor_name,invoice_date,invoice_number,taxable_value,cgst,sgst,igst,total_itc_claimed,client_gstin
dafbd15a-4e30-47e8-9f03-93c967a8dc67,32MIZGW1045V1Z9,Horizon Solutions,2026-01-26,INV-41771,109075.53,0.0,0.0,13089.06,13089.06,27GOCTV9516R3ZG
940f977b-5cfe-4d16-8bf6-db5f99e881a6,33MHMKR7789T9Z1,Genesis Pvt Ltd,2026-01-02,TX-58800,36630.5,0.0,0.0,6593.49,6593.49,19LMSRZ0438H4ZC
4122d6c3-787f-450e-9067-042473444a21,19BHZYV0269B6ZF,Horizon Enterprises,2026-01-17,RE-59915,196469.19,0.0,0.0,9823.46,9823.46,09TLPJZ1478E3ZR
42a47a56-7fd2-4e1f-ac98-dbebecd3a5a9,07IAKFV1961W5ZW,Ascent Solutions,2026-04-01,TX-00206,14887.15,0.0,0.0,744.36,744.36,09LVEJR7606R4ZA
e1325ee2-390e-47fb-90b3-a8349440ebbe,07TREUM7749S6ZK,Horizon Associates,2026-05-22,RE-66536,17127.1,0.0,0.0,856.36,856.36,32DEMWB8806R1Z5
a408720d-59c2-4235-8913-3ad335f7879d,29UFUSM5911O9ZZ,Nova Services,2026-03-27,RE-96363,15682.67,0.0,0.0,1881.92,1881.92,09TLPJZ1478E3ZR
9db4a63c-e7a5-436a-9dfb-13af77ecbef5,33WJOCH2457T9Z1,Nova Solutions,2026-01-17,INV/26-27/17676,1311.8,32.8,32.8,0.0,65.6,33HMOSW5244D2ZR
fa9014c3-5621-46f6-be44-e9b622c1fe80,07TREUM7749S6ZK,Horizon Associates,2026-01-10,TX-33203,9237.94,0.0,0.0,461.9,461.9,24ZYTRS3638O2ZF
5cf27b4d-0eba-4bf7-8dc5-2ba7f0f78c4a,32XEPQM0336F6ZQ,Ascent Associates,2026-04-22,INV-48238,24451.45,0.0,0.0,4401.26,4401.26,33DTOUN0309Z5ZF
4cc64571-2a97-443c-91e9-07be2f4fedaa,33KYRXQ3502N6ZT,Pioneer Associates,2026-02-16,TX-78965,16645.66,1498.11,1498.11,0.0,2996.22,33BAOPA7000K2ZW
5fb5334d-a327-40d1-a4d3-c85e9d086f63,24YFPVG6368Z1ZM,Beacon Trading Co,2026-04-25,TX-46078,80546.33,0.0,0.0,22552.97,22552.97,33BAOPA7000K2ZW
af7816de-2eaf-4eac-8d90-71fc6bdc5d72,19LYXQR1956K7ZI,Beacon Logistics,2026-05-12,TX-47620,3812.56,0.0,0.0,1067.52,1067.52,27OSSKL2871N6ZH
d91e5156-0ff0-4a90-a032-80fa4c182915,33JJHSA8308Y1ZV,Zenith Enterprises,2026-01-09,TX-74350,8167.22,0.0,0.0,980.07,980.07,27GOCTV9516R3ZG
b9272641-5baa-40f3-a7ed-a7e8443cd45d,09SSLRY7669N2ZY,Delta Logistics,2026-02-17,INV-03397,14606.6,0.0,0.0,2629.19,2629.19,29KPMGO9618Y5ZL
d99dafa6-21c9-4ad4-ab1f-9c763b2b9031,07VUDGQ8518D5Z5,Quantum Solutions,2026-05-06,QT-90962,2366.0,0.0,0.0,118.3,118.3,29FYWIR3942H9ZY
f47ab257-3392-491c-8d91-f051fb6f65b5,24OUECW6291O5ZT,Sigma Pvt Ltd,2026-05-19,INV-72090,15232.62,0.0,0.0,1827.91,1827.91,33DTOUN0309Z5ZF
0e063713-0907-4c23-8fa0-d44c25918c69,32QMUCF6354Q6ZR,Eclipse Services,2026-05-07,INV/26-27/31030,29620.43,0.0,0.0,3554.45,3554.45,09VQWPS0220H2ZO
